Frequency (Hz) - Data	Amplitude (V) - Data	
13350.2	3.24241	0.000161
13400.3	3.26786	0.000161
13450.2	3.2263	0.000161
13500.3	3.18442	0.000161
13550.3	3.14319	0.000161
13600.4	3.03736	0.000161
13650.3	3.05733	0.000161
13700.2	3.0169	0.000161
13750.4	2.97292	0.000161
13800.2	2.93233	0.000161
13850.3	2.89448	0.000161
13900.2	2.85292	0.000161
13950.3	2.81474	0.000161
14000.3	2.77318	0.000161
14050.2	2.73581	0.000161
14100.3	2.69731	0.000161
14150.2	2.66252	0.000161
14200.3	2.62499	0.000161
14250.1	2.58842	0.000161
14300.3	2.55298	0.000161
14350.3	2.51819	0.000161
14400.2	2.49209	0.000161
14450.2	2.46245	0.000161
14500.2	2.42557	0.000161
14550.4	2.40205	0.000161
14600.3	2.37483	0.000161
14650.3	2.33021	0.000161
14700.2	2.3033	0.000161
14750.4	2.27721	0.000161
14800.2	2.25417	0.000161
14850.2	2.2276	0.000161
14900.3	2.20327	0.000161
14950.2	2.18104	0.000161
15000.3	2.14754	0.000161
15050.3	2.13433	0.000161
15100.3	2.11436	0.000161
15150.3	2.09068	0.000161
15200.1	2.07038	0.000161
15250.3	2.05121	0.000161
15300.3	2.03768	0.000161
15350.3	2.01078	0.000161
15400.3	1.99338	0.000161
15450.4	1.97357	0.000161
15500.3	1.96165	0.000161
15550.3	1.9399	0.000161
15600.3	1.91912	0.000161
15650.2	1.90334	0.000161
15700.3	1.88787	0.000161
15750.2	1.86983	0.000161
15800.4	1.85308	0.000161
15850.2	1.83794	0.000161
15900.4	1.82312	0.000161
15950.3	1.80862	0.000161
16000.2	1.79187	0.000161
16050.2	1.78156	0.000161
16100.3	1.76932	0.000161
16150.3	1.75772	0.000161
16200.3	1.74097	0.000161
16250.3	1.72647	0.000161
16300.3	1.71278	0.000161
16350.2	1.70086	0.000161
16400.3	1.6891	0.000161
16450.3	1.67815	0.000161
16500.3	1.66397	0.000161
16550.2	1.65334	0.000161
16600.4	1.64706	0.000161
16650.3	1.55637	0.000161
16700.5	1.62016	0.000161
16750.3	1.60936	0.000161
16800.3	1.59954	0.000161
16850.3	1.59132	0.000161
16900.2	1.58536	0.000161
16950.3	1.57602	0.000161
17000.3	1.56426	0.000161
17050.4	1.55299	0.000161
17100.3	1.54203	0.000161
17150.2	1.53092	0.000161
17200.3	1.52303	0.000161
17250.2	1.51433	0.000161
17300.3	1.50579	0.000161
17350.3	1.4979	0.000161
17400.4	1.48952	0.000161
17450.3	1.48034	0.000161
17500.2	1.47357	0.000161
17550.3	1.46536	0.000161
17600.2	1.45569	0.000161
17650.3	1.44651	0.000161
17700.3	1.44168	0.000161
17750.4	1.43475	0.000161
17800.3	1.42766	0.000161
17850.4	1.42025	0.000161
17900.3	1.41397	0.000161
17950.2	1.40882	0.000161
18000.3	1.39899	0.000161
18050.2	1.39271	0.000161
18100.4	1.38739	0.000161
18150.3	1.38433	0.000161
18200.4	1.37354	0.000161
18250.3	1.37161	0.000161
18300.2	1.36017	0.000161
18350.3	1.35453	0.000161
18400.2	1.35035	0.000161
18450.3	1.34439	0.000161
18500.3	1.33955	0.000161
18550.3	1.33375	0.000161
18600.3	1.32924	0.000161
18650.2	1.3257	0.000161
18700.3	1.31813	0.000161
18750.2	1.31008	0.000161
18800.3	1.30556	0.000161
18850.3	1.29832	0.000161
18900.3	1.29477	0.000161
18950.3	1.29042	0.000161
19000.4	1.28479	0.000161
19050.4	1.27754	0.000161
19100.2	1.27625	0.000161
19150.4	1.2698	0.000161
19200.3	1.26481	0.000161
19250.3	1.26223	0.000161
19300.3	1.25708	0.000161
19350.4	1.25611	0.000161
19400.3	1.24951	0.000161
19450.2	1.24355	0.000161
19500.3	1.23936	0.000161
19550.3	1.23566	0.000161
19600.3	1.23179	0.000161
19650.2	1.2276	0.000161
19700.3	1.22277	0.000161
19750.3	1.21955	0.000161
19800.4	1.21488	0.000161
19850.3	1.21133	0.000161
19900.3	1.20634	0.000161
19950.3	1.20279	0.000161
20000.3	1.14561	0.000161
20050.4	1.19732	0.000161
20100.3	1.19216	0.000161
20150.4	1.18878	0.000161
20200.3	1.18443	0.000161
20250.2	1.18137	0.000161
20300.3	1.17912	0.000161
20350.3	1.17686	0.000161
20400.3	1.17396	0.000161
20450.3	1.17187	0.000161
20500.4	1.16784	0.000161
20550.3	1.16301	0.000161
20600.2	1.15882	0.000161
20650.3	1.15608	0.000161
20700.2	1.15173	0.000161
20750.3	1.14867	0.000161
20800.3	1.14626	0.000161
20850.4	1.14175	0.000161
20950.4	1.1353	0.000161
21000.3	1.13305	0.000161
21050.2	1.12838	0.000161
21100.4	1.12725	0.000161
21200.4	1.12032	0.000161
21250.3	1.11952	0.000161
21300.4	1.11726	0.000161
21350.3	1.1142	0.000161
21400.2	1.11114	0.000161
21450.3	1.10808	0.000161
21500.2	1.10615	0.000161
21550.3	1.10534	0.000161
21600.2	1.10115	0.000161
21650.3	1.09858	0.000161
21700.3	1.09632	0.000161
21750.2	1.09535	0.000161
21800.3	1.09229	0.000161
21850.3	1.09052	0.000161
21900.3	1.08923	0.000161
21950.3	1.08601	0.000161
